data_date,org_code,elec_type,data_value,trade_code
2021-08-01,32402,1,1168931538,U
2021-08-01,32403,1,859240473,U
2021-08-01,32404,1,772521423,U
2021-08-01,32405,1,2232721536,U
2021-08-01,32406,1,1045294380,U
2021-08-01,32407,1,441055362,U
2021-08-01,32408,1,484311883,U
2021-08-01,32409,1,726467860,U
2021-08-01,32410,1,547406621,U
2021-08-01,32411,1,436239829,U
2021-08-01,32412,1,553300801,U
2021-08-01,32413,1,482703465,U
2021-09-01,32401,1,1190288808,U
2021-09-01,32402,1,889156627,U
2021-09-01,32403,1,565651730,U
2021-09-01,32404,1,606861776,U
2021-09-01,32405,1,1674879726,U
2021-09-01,32406,1,815615523,U
2021-09-01,32407,1,305391591,U
2021-09-01,32408,1,350048445,U
2021-09-01,32409,1,505770440,U
2021-09-01,32410,1,401169038,U
2021-09-01,32411,1,343055654,U
2021-09-01,32412,1,409728616,U
2021-09-01,32413,1,318844586,U
2021-10-01,32401,1,921431028,U
2021-10-01,32402,1,661296821,U
2021-10-01,32403,1,540796707,U
2021-10-01,32404,1,452005359,U
2021-10-01,32405,1,1273793162,U
2021-10-01,32406,1,657232112,U
2021-10-01,32407,1,265707339,U
2021-10-01,32408,1,286042916,U
2021-10-01,32409,1,444908243,U
2021-10-01,32410,1,335330443,U
2021-10-01,32411,1,264047655,U
2021-10-01,32412,1,335548668,U
2021-10-01,32413,1,281796354,U
2021-11-01,32401,1,930692128,U
2021-11-01,32402,1,611339141,U
2021-11-01,32403,1,600365652,U
2021-11-01,32404,1,421287484,U
2021-11-01,32405,1,1201534932,U
2021-11-01,32406,1,630223551,U
2021-11-01,32407,1,283779330,U
2021-11-01,32408,1,291172653,U
2021-11-01,32409,1,445208159,U
2021-11-01,32410,1,332873452,U
2021-11-01,32411,1,253477759,U
2021-11-01,32412,1,319868731,U
2021-11-01,32413,1,284097668,U
2021-12-01,32401,1,1377439491,U
2021-12-01,32402,1,875118163,U
2021-12-01,32403,1,865464458,U
2021-12-01,32404,1,603080626,U
2021-12-01,32405,1,1723085183,U
2021-12-01,32406,1,844570826,U
2021-12-01,32407,1,438939098,U
2021-12-01,32408,1,430307584,U
2021-12-01,32409,1,614690859,U
2021-12-01,32410,1,481387358,U
2021-12-01,32411,1,366809363,U
2021-12-01,32412,1,446651890,U
2021-12-01,32413,1,415718788,U
2022-01-01,32401,1,1646802399,U
2022-01-01,32402,1,1131059004,U
2022-01-01,32403,1,1120689738,U
2022-01-01,32404,1,789959701,U
2022-01-01,32405,1,2108809649,U
2022-01-01,32406,1,1079244786,U
2022-01-01,32407,1,609947989,U
2022-01-01,32408,1,587743585,U
2022-01-01,32409,1,839984609,U
2022-01-01,32410,1,650055672,U
2022-01-01,32411,1,486604505,U
2022-01-01,32412,1,613980732,U
2022-01-01,32413,1,577352561,U
2022-02-01,32401,1,1520834347,U
2022-02-01,32402,1,1075632537,U
2022-02-01,32403,1,935183700,U
2022-02-01,32404,1,748882022,U
2022-02-01,32405,1,2003341004,U
2022-02-01,32406,1,1028834229,U
2022-02-01,32407,1,508969669,U
2022-02-01,32408,1,514851160,U
2022-02-01,32409,1,748489057,U
2022-02-01,32410,1,597099648,U
2022-02-01,32411,1,455732564,U
2022-02-01,32412,1,579900190,U
2022-02-01,32413,1,486461647,U
2022-03-01,32401,1,998436074,U
2022-03-01,32402,1,684586670,U
2022-03-01,32403,1,654224389,U
2022-03-01,32404,1,469113433,U
2022-03-01,32405,1,1310183079,U
2022-03-01,32406,1,730911296,U
2022-03-01,32407,1,322929880,U
2022-03-01,32408,1,331082943,U
2022-03-01,32409,1,521057450,U
2022-03-01,32410,1,378552651,U
2022-03-01,32411,1,280352237,U
2022-03-01,32412,1,369259569,U
2022-03-01,32413,1,320280284,U
